year,t_bg_N_c_u5,t_bg_N_fam_c_u5,county,adj_supply_any,adj_supply_ccc,adj_supply_hr,adj_supply_public,totcost_any,totcost_ccc,totcost_hr,totcost_public,quality_premium,N_county,rank_adj_supply_any,rank_adj_supply_ccc,rank_adj_supply_hr,rank_adj_supply_public,rank_totcost_any,rank_totcost_ccc,rank_totcost_hr,rank_totcost_public,rank_quality_premium
2014,3985,3033,Faribault,.68465596,.14398655,.020875774,.11279085,103.37242,145.85356,210.91867,19.006001,1.8865423,87,39,32,44,34,41,19,53,74,68
2015,3985,3033,Faribault,.72302127,.18590179,.13382867,.095752552,104.46276,139.21069,172.38298,19.100662,1.6001143,87,29,13,6,38,42,12,48,75,70
2016,3985,3033,Faribault,.71823657,.19415151,.12682281,.11628411,128.75644,203.46495,178.91472,36.785362,1.3246255,87,21,14,15,32,63,44,42,71,43
2017,3985,3033,Faribault,.68602729,.21962976,.17804959,.11628411,110.11956,216.44887,167.47029,50.771553,1.4170622,87,20,15,8,36,46,26,37,68,58
2012,1838,1276,Fillmore,.9571026,.15838957,,.32228103,106.1595,251.09607,,96.194954,,87,2,20,,3,42,49,,64,
2013,1838,1276,Fillmore,.95107567,.17103581,0,.32145506,106.55755,191.26224,294.52643,40.011475,2.5072949,87,5,17,70.5,4,33,60,78,74,79
2014,1838,1276,Fillmore,.94724053,.17103581,0,.38794312,95.187996,171.42767,243.17328,20.656742,2.0762153,87,9,23,76.5,4,21,42,70,76,73
2015,1838,1276,Fillmore,.66205329,.17066571,8.7746054e-16,.10138016,103.88097,163.35133,200.48392,20.643169,1.7186167,87,36,22,69,35,40,29,61,76,76
2016,1838,1276,Fillmore,.67625719,.22998069,2.7704120e-15,.10138015,129.56334,217.3992,247.46425,42.34766,1.8970386,87,29,12,78,42,65,52,67,77,70
2017,1838,1276,Fillmore,.59184873,.22282825,.028194837,.10138018,108.40228,258.23856,134.61763,76.252342,1.15465,87,38,14,64,46,44,44,20,79,29
2012,1742,1294,Freeborn,.45988014,.091437638,,.049813394,109.18814,218.58868,,49.210526,,87,69,47,,46,50,33,,39,
2013,1742,1294,Freeborn,.48109552,.091435701,0,.049813394,112.69024,182.52147,256.67181,18.700487,2.1391156,87,70,47,70.5,44,51,56,65,41,71
2014,1742,1294,Freeborn,.52535486,.14126481,.049813394,.031397678,119.89572,182.07771,202.4404,13.780965,1.6872159,87,69,35,29,77,64,51,49,48,58
2015,1742,1294,Freeborn,.49370843,.12016287,.028616205,.031397536,120.04621,179.65594,207.62488,14.230349,1.7068297,87,70,34,47,79,63,49,64,52,75
2016,1742,1294,Freeborn,.43133003,.10103893,.041520935,.037464794,123.93478,177.24078,169.42152,21.204792,1.5300366,87,79,44,52,77,54,17,38,50,57
2017,1742,1294,Freeborn,.41265282,.10748186,.13554898,.057442959,110.7626,207.92247,161.18736,20.583021,1.4257149,87,83,45,18,69,47,20,32,35,59
2012,2599,1829,Goodhue,.61270905,.093817502,,.093693942,126.58926,181.62634,,48.869431,,87,39,45,,25,70,10,,38,
2013,2599,1829,Goodhue,.5405407,.093817502,5.6969857e-19,.014204457,134.17369,162.95279,266.0936,21.797667,1.9498277,87,58,46,53,70,72,42,71,53,60
2014,2599,1829,Goodhue,.55892354,.093817502,1.1770170e-11,.057324059,124.88609,160.85593,239.61823,10.208864,1.7720128,87,57,51,60,61,70,31,67,19,62
2015,2599,1829,Goodhue,.52584106,.094655856,.03341129,.056505866,128.75435,174.32761,214.44577,10.20509,1.5380216,87,62,45,42,60,72,43,67,22,66
2016,2599,1829,Goodhue,.49810734,.10204447,.10788309,.052824777,133.62796,175.33926,194.4053,13.697284,1.3651778,87,62,43,22,67,68,16,52,31,48
2017,2599,1829,Goodhue,.46844673,.11639874,.10155448,.054801345,135.75581,191.46935,203.21603,13.575091,1.3996018,87,66,40,25,73,73,9,59,25,57
2012,2266,1906,Grant,.46600994,0,,.10804661,93.563972,415.89246,,50.848385,,87,67,83.5,,17,13,77,,40,
2013,2266,1906,Grant,.51258922,0,0,.12240145,94.598648,201.50705,239.44838,19.543701,2.0924339,87,61,83.5,70.5,13,14,66,58,46,69
2014,2266,1906,Grant,.51162916,0,0,.18786408,86.775726,189.99602,214.32869,18.480742,1.9052391,87,71,83.5,76.5,9,6,59,56,71,69
2015,2266,1906,Grant,.53218502,0,.02484978,.19445123,91.125656,190.95493,138.43402,18.245872,1.2144012,87,58,82.5,48,7,14,57,19,73,24
2016,2266,1906,Grant,.59166193,0,.051770374,.22682607,69.31826,298.95251,133.51282,18.808443,1.1368425,87,43,82,46,5,2,76,8,44,19
2017,2266,1906,Grant,.66061127,0,0,.25059158,91.305237,534.28577,139.52776,17.780294,1.1547294,87,27,82,83,5,21,79,23,31,30
2012,75406,55279,Hennepin,.44584528,.28639627,,.019605579,219.38272,260.36658,,15.71614,,87,74,2,,67,87,54,,4,
2013,75406,55279,Hennepin,.47231957,.32258433,.11844537,.01348681,228.23485,263.23312,283.9649,13.316601,1.3124242,87,71,1,4,71,87,84,74,9,21
2014,75406,55279,Hennepin,.53181559,.37701541,.15113276,.020018391,227.89554,263.2066,281.95874,8.6207542,1.2913713,87,65,1,5,84,87,85,83,9,25
2015,75406,55279,Hennepin,.51818854,.36742294,.15972194,.030601857,231.0182,270.5231,290.70389,8.2248373,1.2961987,87,66,1,2,81,87,84,84,9,39
2016,75406,55279,Hennepin,.54293066,.39845628,.17689864,.036117427,244.03598,286.50934,301.41733,7.855689,1.2681655,87,51,1,4,79,87,74,77,6,37
2017,75406,55279,Hennepin,.56530887,.43109602,.20373362,.039913755,245.40953,283.9603,304.54449,7.8472943,1.2833381,87,47,1,3,81,87,56,77,4,47
2012,1838,1276,Houston,.78736264,.099134587,,.067206301,108.49612,192.36655,,41.720337,,87,14,42,,37,48,17,,31,
2013,1838,1276,Houston,.82836896,.099134587,0,.067150071,111.6987,159.20563,235.38225,11.741597,1.9742471,87,15,41,70.5,37,48,35,53,5,61
2014,1838,1276,Houston,.836963,.099134587,0,.089339964,105.26475,161.91591,249.10446,11.686271,2.1279299,87,18,48,76.5,46,47,32,72,31,76
2015,1838,1276,Houston,.7427575,.070462488,0,.107989,105.73045,177.83044,181.55516,13.105084,1.5234749,87,26,54,79.5,33,46,47,55,43,63
2016,1838,1276,Houston,.78635323,.099953458,.28802973,.14302129,112.37594,180.11836,143.61385,36.94009,1.1625912,87,11,45,1,23,45,19,13,72,22
2017,1838,1276,Houston,.75862002,.16124201,.13286659,.1731557,101.71804,234.38942,123.85091,36.647446,.97792029,87,11,27,19,15,35,36,11,58,9
2012,2630,2129,Hubbard,.46167991,.047522992,,.053362735,109.88496,322.03247,,96.489723,,87,68,59,,42,54,66,,65,
2013,2630,2129,Hubbard,.45763382,.047522992,.028926032,.053381521,112.5621,153.89819,179.68593,24.757656,1.5290512,87,75,60,22,40,50,24,29,60,38
2014,2630,2129,Hubbard,.49835253,.063441657,.067339055,.018747209,115.15552,186.56354,161.76724,36.03154,1.352278,87,79,61,21,85,56,55,26,84,29
2015,2630,2129,Hubbard,.49244848,.066812284,.10051905,.037309516,116.28797,175.24783,155.59152,27.925215,1.289387,87,71,60,13,75,58,44,34,84,37
2016,2630,2129,Hubbard,.46512946,.071207188,.17002784,.018684493,123.95102,183.41051,133.94514,99.125771,.9936071,87,69,54,6,87,55,23,9,85,3
2017,2630,2129,Hubbard,.46271718,.083741523,.17044973,.018836696,121.28301,321.20865,235.47546,183.05605,1.87578,87,68,50,11,87,62,61,67,85,76
2012,3387,2386,Isanti,.34667858,.18891539,,4.4924648e-36,146.13931,189.1738,,108.3895,,87,83,13,,87,77,15,,71,
2013,3387,2386,Isanti,.38441086,.20721923,.029735187,4.4909699e-36,148.03085,177.79764,196.77179,49.481438,1.3655704,87,81,12,20,86,77,54,38,79,27
2014,3387,2386,Isanti,.38896462,.19241469,.054251473,.031113615,144.3208,185.53587,179.0849,13.223385,1.1910751,87,85,15,24,78,77,53,39,44,17
2015,3387,2386,Isanti,.38654545,.1931168,.065765448,.031138645,148.99031,198.05133,187.93495,13.22278,1.2278982,87,84,12,25,80,78,61,58,44,26
2016,3387,2386,Isanti,.35014331,.17303978,.094038151,.031149067,152.45477,199.01479,183.01414,18.866102,1.1745999,87,86,19,23,83,77,39,44,46,25
2017,3387,2386,Isanti,.34291443,.18060245,.0985642,.024621833,144.50204,220.47928,172.82559,21.697001,1.1090168,87,86,23,26,84,77,28,43,38,20
2012,2374,1820,Itasca,.48622096,.067999855,,.14189972,99.425484,245.47566,,36.567158,,87,62,55,,11,28,46,,25,
2013,2374,1820,Itasca,.54676443,.067999855,.031017816,.18319091,99.439812,153.90729,150.87552,18.235582,1.2161947,87,56,56,19,8,19,25,18,38,17
2014,2374,1820,Itasca,.63263333,.10841866,.10530844,.23503971,95.24958,169.88788,161.83707,15.124947,1.3217038,87,45,46,14,6,22,41,27,55,27
2015,2374,1820,Itasca,.6527878,.084066108,.10896717,.26527414,88.289116,134.22829,144.63264,14.793787,1.1659129,87,39,47,12,4,10,10,25,55,19
2016,2374,1820,Itasca,.50604129,.090686478,.13392869,.14844689,97.756653,141.54359,149.0388,23.173246,1.1177948,87,60,48,13,21,20,5,19,55,17
2017,2374,1820,Itasca,.50171256,.093616836,.16615626,.15821563,97.86734,198.60582,135.94119,56.147766,1.0369939,87,57,49,12,21,29,14,21,72,14
2012,1053,893,Jackson,.76253784,.17294072,,.041173864,107.42622,273.67996,,112.18089,,87,18,16,,53,44,55,,72,
2013,1053,893,Jackson,.79353064,.17294072,0,.03294044,113.53709,157.89581,297.33813,24.012346,2.5089567,87,18,16,70.5,56,53,33,80,58,80
2014,1053,893,Jackson,.88672173,.17294072,0,.13314477,100.51467,135.59149,238.27574,15.65177,2.0989506,87,13,21,76.5,23,33,11,66,59,75
2015,1053,893,Jackson,.75057089,.17318882,0,.13322835,95.891304,127.56719,161.30974,15.487998,1.4447695,87,23,20,79.5,24,24,6,40,58,55
2016,1053,893,Jackson,.77340943,.15702213,.031944443,.1675344,110.837,241.2589,141.98688,25.791914,1.0517395,87,13,26,57,13,40,59,11,60,6
2017,1053,893,Jackson,.72523898,.15702213,.077067986,.17892192,94.039711,202.79576,99.953178,45.256329,.79028493,87,12,28,41,13,23,16,2,65,1
2012,885,572,Kanabec,.93055636,.039267562,,.50321102,95.448212,191.74257,,64.094482,,87,4,63,,2,19,16,,49,
2013,885,572,Kanabec,.92728943,.039267562,3.5686420e-09,.50321102,92.157593,168.94043,193.28909,24.507626,1.5934668,87,6,64,47,3,8,49,36,59,44
2014,885,572,Kanabec,.96367455,.039267562,2.3157703e-07,.55376023,85.277115,167.90627,160.83562,15.71615,1.3268961,87,7,68,57,2,5,38,25,60,28
2015,885,572,Kanabec,.97457737,.039561007,2.3156140e-07,.55375719,87.839333,168.35577,157.67392,15.810138,1.2671943,87,3,67,64,2,7,38,37,62,33
2016,885,572,Kanabec,1.0975701,.11788618,.063191049,.55375749,102.39027,182.47989,151.17113,28.875639,1.0732898,87,2,38,39,2,24,22,21,64,9
2017,885,572,Kanabec,.97063285,.058922216,.087319404,.5535723,87.04467,198.98268,128.50011,27.720098,1.0520046,87,2,60,34,2,10,15,15,47,15
2012,2996,2195,Kandiyohi,.45482716,.072292253,,.026653526,109.80962,197.67789,,18.046488,,87,71,53,,62,53,20,,9,
2013,2996,2195,Kandiyohi,.46083692,.072292253,.02438733,.03300463,111.63483,168.03717,154.04114,12.847972,1.3274392,87,72,54,26,55,47,46,19,6,24
2014,2996,2195,Kandiyohi,.49853799,.085942641,.072201625,.047307931,111.10857,175.29356,166.06143,9.21807,1.4652804,87,78,53,20,67,54,45,34,10,47
2015,2996,2195,Kandiyohi,.49041718,.088162214,.080153935,.054307021,109.66598,172.84236,159.01192,9.116065,1.3945279,87,73,46,19,62,53,40,39,13,48
2016,2996,2195,Kandiyohi,.48504016,.097033352,.090332463,.071810521,116.73906,188.21193,158.26268,9.0256424,1.1991587,87,66,46,28,53,47,30,27,12,28
2017,2996,2195,Kandiyohi,.47236422,.11586688,.11752231,.068611808,112.17003,210.35606,165.81755,12.166066,1.3565719,87,63,41,21,63,48,22,35,23,55
2012,422,306,Kittson,.55500221,0,,.092592776,96.322304,989.62506,,171.73505,,87,48,83.5,,27,21,85,,78,
2013,422,306,Kittson,.59378874,0,0,.092592776,93.209061,227.1264,316.77383,28.402573,2.9817958,87,49,83.5,70.5,26,11,76,81,66,81
2014,422,306,Kittson,.57771683,0,0,.12476565,88.026901,233.66025,294.14801,16.299438,2.6405346,87,55,83.5,76.5,27,10,76,85,63,85
2015,422,306,Kittson,.49225226,0,0,.073083945,97.986504,244.97298,300.74301,23.715981,2.5715694,87,72,82.5,79.5,53,28,75,86,80,86
2016,422,306,Kittson,.68649387,0,0,.21305844,100.9138,954.44727,1045.5433,76.223038,8.5485258,87,26,82,83.5,6,23,87,86,83,86
2017,422,306,Kittson,.57197124,0,,.21305844,92.462082,1047.7649,,77.351563,,87,45,82,,7,22,86,,80,
2012,604,445,Koochiching,.42010224,.025823832,,.10854054,99.281677,711.10779,,45.737114,,87,77,70,,16,27,84,,33,
2013,604,445,Koochiching,.44678375,.025823832,0,.080723234,102.82372,284.79816,382.26678,15.79056,3.2335911,87,79,72,70.5,31,25,85,84,26,84
2014,604,445,Koochiching,.50177139,.034147069,0,.13567713,93.701752,328.09299,383.69342,13.990829,3.3298612,87,77,70,76.5,21,19,87,86,49,87
2015,604,445,Koochiching,.54737866,.034147069,0,.18786351,90.370026,298.56091,292.20261,10.167528,2.524528,87,55,70,79.5,9,13,85,85,21,85
2016,604,445,Koochiching,.52205777,0,0,.19040561,94.804832,299.29593,336.96753,10.081962,2.5741119,87,55,82,83.5,8,14,77,79,20,78
2017,604,445,Koochiching,.43070576,0,.01681312,.19387221,79.797539,820.21735,127.23508,11.980645,1.1427524,87,77,82,70,10,5,85,14,22,25
2012,467,393,Lac qui Parle,.44745779,3.1838642e-06,,.077068262,95.243645,396.80634,,69.663445,,87,73,77,,32,17,73,,51,
2013,467,393,Lac qui Parle,.44808358,3.1838642e-06,0,.079324625,93.650391,120.7253,123.73044,18.907043,1.1074522,87,78,78,70.5,32,13,7,6,42,10
2014,467,393,Lac qui Parle,.5219655,.017109176,8.1120816e-06,.14783584,95.563942,180.48543,142.71748,17.984888,1.1684226,87,70,73,55,13,23,50,17,68,16
2015,467,393,Lac qui Parle,.5219357,.018099727,9.3957151e-06,.14397663,96.112038,167.58185,144.17586,17.971014,1.1542108,87,64,72,62,18,25,36,24,70,16
2016,467,393,Lac qui Parle,.5161894,.02262258,2.8621776e-06,.17397347,86.549385,290.6394,233.65791,18.81184,2.1230338,87,57,71,74,11,9,75,65,45,74
2017,467,393,Lac qui Parle,.42530331,.017110202,3.3711009e-07,.09948568,112.38525,337.6131,140.82613,197.9393,1.1488394,87,78,72,78,47,49,65,24,86,27
2012,520,530,Lake,.25294879,.03003733,,.020009916,114.99422,390.40918,,107.50165,,87,87,69,,65,58,72,,70,
2013,520,530,Lake,.36358351,.03003733,0,.050600424,113.31261,193.93701,216.12265,27.20941,1.6919339,87,85,70,70.5,42,52,62,49,64,50
2014,520,530,Lake,.38899162,0,0,.11931174,87.135742,248.91095,185.76535,9.2230024,1.4751569,87,84,83.5,76.5,29,8,80,41,11,48
2015,520,530,Lake,.28338614,0,0,.051167395,101.11508,260.43234,177.92087,9.3225269,1.399586,87,87,82.5,79.5,66,36,79,54,14,50
2016,520,530,Lake,.23906493,0,0,.0463962,102.48406,257.40811,257.47189,15.379848,1.9608833,87,87,82,83.5,72,25,64,70,37,72
2017,520,530,Lake,.27642739,0,.012364234,.053367414,102.2962,485.38589,413.88666,23.263527,3.201947,87,87,82,71,75,36,77,83,42,82
2012,296,171,Lake of the Woods,.41836333,0,,.093023494,95.567665,996.38208,,274.85519,,87,79,83.5,,26,20,86,,82,
2013,296,171,Lake of the Woods,.4599666,0,0,.093023494,92.885414,415.84015,500.92365,25.85746,4.5680208,87,73,83.5,70.5,25,9,87,87,61,87
2014,296,171,Lake of the Woods,.40009415,0,0,.093134783,93.346397,260.10754,260.10754,25.627829,2.348424,87,83,83.5,76.5,43,18,83,74,81,82
2015,296,171,Lake of the Woods,.44088703,0,.041603252,.093134783,92.612701,385.25235,116.31025,25.692644,1.0287182,87,82,82.5,36,40,18,87,4,82,7
2016,296,171,Lake of the Woods,.43951142,0,.054265112,.15513231,99.463425,433.05518,140.9973,240.69316,1.0574068,87,77,82,44,18,21,82,10,87,7
2017,296,171,Lake of the Woods,.41778699,0,.052004065,.17065477,75.998268,779.64862,133.50053,111.24813,.94282317,87,80,82,56,17,2,84,17,84,4
2012,3985,3033,Le Sueur,.72053629,.030278435,,.07431823,125.87668,226.67433,,74.577721,,87,23,68,,34,69,38,,55,
2013,3985,3033,Le Sueur,.72380042,.030278435,1.2931078e-18,.07431823,129.80673,208.38974,233.35199,30.236595,1.7346585,87,27,69,52,35,69,72,52,70,53
2014,3985,3033,Le Sueur,.77953404,.090936303,.079125762,.10692829,119.47179,207.43991,203.91246,9.3689966,1.5678389,87,24,52,18,38,62,67,50,12,53
2015,3985,3033,Le Sueur,.72175974,.074779831,.076435819,.10706075,121.4826,218.20544,171.51625,8.9163122,1.2879627,87,30,53,20,34,64,71,47,11,36
2016,3985,3033,Le Sueur,.68540138,.077271454,.083737105,.10375658,128.20808,224.92021,180.22861,9.2531881,1.2501593,87,27,52,31,38,62,56,43,14,34
2017,3985,3033,Le Sueur,.68000323,.10901196,.10646112,.093949467,126.40299,224.7112,169.70308,11.175435,1.2308419,87,22,44,23,50,68,33,41,20,39
2012,386,278,Lincoln,.63893062,0,,.000042563468,97.034164,357.35306,,388.77722,,87,33,83.5,,82,23,70,,85,
2013,386,278,Lincoln,.73048538,0,0,.00003617895,105.18498,205.62927,220.35625,70.194138,2.1245112,87,26,83.5,70.5,81,30,71,51,85,70
2014,386,278,Lincoln,.93811303,0,0,.19347481,87.54467,201.50937,221.60545,15.06447,2.1554518,87,11,83.5,76.5,8,9,63,59,53,77
2015,386,278,Lincoln,.80850422,0,0,.18361084,76.507484,186.07362,204.62746,14.294562,2.0540092,87,11,82.5,79.5,11,2,51,62,53,84
2016,386,278,Lincoln,.75085688,0,.0036019657,.18364614,78.496902,144.29951,263.17871,25.430212,2.8682044,87,14,82,70,9,4,6,71,59,79
2017,386,278,Lincoln,.91414011,0,.063575521,.23932248,76.544945,553.58722,194.37715,23.246634,1.7705733,87,4,82,49,6,3,80,55,41,75
2012,1741,1051,Lyon,.84940368,.17219852,,.05073294,102.18716,169.18668,,78.017899,,87,8,17,,44,37,7,,59,
2013,1741,1051,Lyon,.86803907,.14915739,0,.059431802,108.64061,132.36723,150.42291,15.033091,1.3133886,87,10,23,70.5,38,39,13,17,22,22
2014,1741,1051,Lyon,.96747977,.16514686,0,.10314594,102.07859,130.89572,139.97914,12.616176,1.2487049,87,6,25,76.5,40,37,7,15,39,23
2015,1741,1051,Lyon,.90870631,.16499309,.0065664002,.12404988,99.259453,131.80658,139.13391,7.5646048,1.2310812,87,5,23,55,26,31,8,21,2,27
2016,1741,1051,Lyon,.8582269,.14929919,.064048231,.12435568,118.95715,161.32143,143.8808,6.9812789,1.0943609,87,6,28,37,31,48,10,14,3,11
2017,1741,1051,Lyon,.7618944,.14286642,.080474868,.11184747,107.14496,279.43997,151.85284,8.8591585,1.2496918,87,10,32,39,37,43,54,28,9,43
2012,2630,2129,Mahnomen,.34578466,.036196534,,.14238462,67.883362,248.99988,,36.493,,87,84,65,,10,1,48,,24,
2013,2630,2129,Mahnomen,.36073661,.036196534,.0845723,.14218071,68.279686,112.29554,112.22736,15.750182,.88933784,87,86,66,10,11,1,3,2,25,1
2014,2630,2129,Mahnomen,.50748426,.047901716,.11069959,.26535013,54.655399,100.14024,105.41026,12.527681,.88561022,87,72,64,10,5,1,2,2,38,1
2015,2630,2129,Mahnomen,.46120474,0,.11968385,.20657618,58.541035,254.78159,145.77151,12.602732,1.2946279,87,78,82.5,9,6,1,78,26,39,38
2016,2630,2129,Mahnomen,.44479293,0,.14638814,.18310505,59.029213,180.40894,146.52519,13.9688,1.2294726,87,75,82,10,10,1,20,17,33,32
2017,2630,2129,Mahnomen,.43605655,0,.18232028,.19090979,70.870613,499.45886,159.00836,31.027695,1.2601305,87,76,82,5,12,1,78,31,52,44
2012,422,306,Marshall,.53026354,.046477731,,.083125465,100.85537,693.57764,,455.09064,,87,51,61,,31,35,83,,87,
2013,422,306,Marshall,.59678108,.056171276,0,.083125465,108.58109,160.13086,245.93619,51.686611,2.0680852,87,47,58,70.5,29,38,37,60,81,68
